GW_id,name,deadline_time,average_GW_score,finished,highest_scoring_playerid,highest_GW_score,most_selected_player,most_transferred_in_player,top_player,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2024-08-16T17:30:00Z,57,True,3546234,127,401,27,328,0,351,351
2,Gameweek 2,2024-08-24T10:00:00Z,69,True,9442126,154,401,594,177,13364453,351,401
3,Gameweek 3,2024-08-31T10:00:00Z,64,True,430195,130,351,177,328,23723836,351,328
4,Gameweek 4,2024-09-14T10:00:00Z,51,True,3560750,120,351,129,185,25930392,351,328
5,Gameweek 5,2024-09-21T10:00:00Z,58,True,1773336,131,351,58,180,13036058,351,351
6,Gameweek 6,2024-09-28T10:00:00Z,50,True,7479996,142,351,327,182,21036913,351,328
7,Gameweek 7,2024-10-05T10:00:00Z,46,True,759474,130,351,182,512,14594461,351,328
8,Gameweek 8,2024-10-19T10:00:00Z,36,True,5482232,98,351,491,228,11911632,351,328
9,Gameweek 9,2024-10-25T17:30:00Z,54,True,2039494,117,351,99,99,10882045,351,182
10,Gameweek 10,2024-11-02T11:00:00Z,39,True,1689659,111,351,99,82,11763382,351,182
11,Gameweek 11,2024-11-09T13:30:00Z,49,True,10668888,136,351,447,366,11631910,351,328
12,Gameweek 12,2024-11-23T11:00:00Z,49,True,7440806,128,351,366,541,13315756,351,182
13,Gameweek 13,2024-11-29T18:30:00Z,60,True,1929511,144,328,541,106,10651205,328,182
14,Gameweek 14,2024-12-03T18:00:00Z,58,True,2964307,132,328,180,328,10912413,351,328
15,Gameweek 15,2024-12-07T11:00:00Z,50,True,7399737,119,182,17,182,10409133,328,182
16,Gameweek 16,2024-12-14T13:30:00Z,47,True,5142221,119,328,401,585,10586275,328,182
17,Gameweek 17,2024-12-21T11:00:00Z,60,True,4917384,151,182,364,328,10405730,328,182
18,Gameweek 18,2024-12-26T11:00:00Z,51,True,2701866,118,328,401,403,13895381,328,182
19,Gameweek 19,2024-12-29T13:00:00Z,66,True,3191421,142,182,401,328,10957444,328,182
20,Gameweek 20,2025-01-04T11:00:00Z,60,True,1247541,136,328,447,99,13978697,328,182
21,Gameweek 21,2025-01-14T18:00:00Z,55,True,434390,148,328,398,364,11543203,328,182
22,Gameweek 22,2025-01-18T11:00:00Z,46,True,2700271,128,328,447,71,8284410,328,182
23,Gameweek 23,2025-01-25T13:30:00Z,59,True,11007664,129,328,71,74,10475856,328,401
24,Gameweek 24,2025-02-01T11:00:00Z,87,True,5428593,201,328,321,328,11002861,328,401
25,Gameweek 25,2025-02-14T18:30:00Z,74,True,2065637,155,328,71,328,11066698,328,182
26,Gameweek 26,2025-02-21T18:30:00Z,62,True,1546737,140,328,71,762,8907059,328,182
27,Gameweek 27,2025-02-25T18:00:00Z,53,True,10980207,120,328,541,163,7849779,328,182
28,Gameweek 28,2025-03-08T11:00:00Z,52,True,4865928,122,328,211,163,8911975,328,182
29,Gameweek 29,2025-03-15T13:30:00Z,40,True,885345,129,328,366,366,21126461,328,182
30,Gameweek 30,2025-04-01T17:15:00Z,44,True,11409817,108,328,755,762,15567710,328,401
31,Gameweek 31,2025-04-05T10:00:00Z,34,True,2430340,109,328,17,491,11309600,328,401
32,Gameweek 32,2025-04-12T10:00:00Z,56,True,994851,168,328,402,392,10134301,328,328
33,Gameweek 33,2025-04-19T12:30:00Z,56,True,3094347,158,328,17,23,12470167,328,328
34,Gameweek 34,2025-04-26T10:00:00Z,47,True,2023246,132,328,541,418,23666358,328,328
35,Gameweek 35,2025-05-02T17:30:00Z,41,True,2424807,105,328,99,106,5993954,328,328
36,Gameweek 36,2025-05-10T12:30:00Z,43,True,3950225,124,328,345,199,8106582,328,328
37,Gameweek 37,2025-05-16T17:00:00Z,39,True,8972552,115,328,58,44,5978738,328,328
38,Gameweek 38,2025-05-25T13:30:00Z,46,True,949279,125,328,617,78,9336077,328,328
