GW_id,player_id,points,web_name,chance_of_playing_next_round,form,now_cost,total_points,transfers_in_event,transfers_out_event,img_code
1,328,14,M.Salah,,4.7,136,344,0,0,p118748
2,177,20,Madueke,100.0,2.3,60,120,0,0,p248857
3,328,17,M.Salah,,4.7,136,344,0,0,p118748
4,185,15,Sánchez,100.0,4.7,45,126,0,0,p215059
5,180,16,N.Jackson,0.0,-0.7,77,121,0,0,p517052
6,182,25,Palmer,100.0,2.3,105,214,0,0,p244851
7,512,18,Antonio,0.0,0.0,52,42,0,0,p57531
8,228,14,Keane,100.0,5.3,38,48,0,0,p106611
9,99,15,Mbeumo,100.0,6.3,83,236,0,0,p446008
10,82,16,Solanke,100.0,2.7,73,108,0,0,p154566
11,366,17,B.Fernandes,100.0,3.3,84,174,0,0,p141746
12,541,16,Cunha,100.0,1.0,70,178,0,0,p430871
13,106,23,Schade,100.0,5.0,53,149,0,0,p513418
14,328,18,M.Salah,,4.7,136,344,0,0,p118748
15,182,18,Palmer,100.0,2.3,105,214,0,0,p244851
16,585,17,I.Sarr,100.0,6.7,55,149,0,0,p232185
17,328,21,M.Salah,,4.7,136,344,0,0,p118748
18,403,13,Joelinton,0.0,0.0,60,99,0,0,p180974
19,328,16,M.Salah,,4.7,136,344,0,0,p118748
20,99,19,Mbeumo,100.0,6.3,83,236,0,0,p446008
21,364,20,Amad,100.0,5.3,53,129,0,0,p493250
22,71,22,Kluivert,100.0,1.7,59,158,0,0,p222683
23,74,21,O.Dango,0.0,0.0,45,111,0,0,p533463
24,328,29,M.Salah,,4.7,136,344,0,0,p118748
25,328,20,M.Salah,,4.7,136,344,0,0,p118748
26,762,15,M.Asensio,,2.0,60,44,0,0,p174292
27,163,15,Cucurella,100.0,8.0,54,133,0,0,p179268
28,163,15,Cucurella,100.0,8.0,54,133,0,0,p179268
29,366,17,B.Fernandes,100.0,3.3,84,174,0,0,p141746
30,762,12,M.Asensio,,2.0,60,44,0,0,p174292
31,491,18,Johnson,100.0,1.0,62,137,0,0,p242898
32,392,27,Barnes,100.0,2.3,59,130,0,0,p201666
33,23,24,Trossard,100.0,4.7,67,152,0,0,p116216
34,418,15,Trippier,100.0,0.3,56,72,0,0,p77794
35,106,14,Schade,100.0,5.0,53,149,0,0,p513418
36,199,16,Eze,100.0,8.3,70,148,0,0,p232413
37,44,15,Konsa,100.0,7.0,45,103,0,0,p199798
38,78,16,Semenyo,100.0,6.7,57,165,0,0,p437730
